Ngày,Quận,Phường ,Loại hình,Tầng,Phòng ngủ,Diện tích,Giá/m2,Giá
08/05/2020,Quận Hai Bà Trưng,Phường Đống Mác,"Nhà mặt phố, mặt tiền",6,5.00,32.00 ,184.38 ,5900.16
08/05/2020,Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",4,3.00,41.00 ,64.63 ,2649.83
08/05/2020,Quận Hoàng Mai,Phường Định Công,"Nhà ngõ, hẻm",5,4.00,30.00 ,83.33 ,2499.9
08/05/2020,Quận Long Biên,Phường Bồ Đề,"Nhà ngõ, hẻm",5,4.00,52.00 ,93.27 ,4850.04
08/05/2020,Quận Bắc Từ Liêm,Phường Cổ Nhuế 1,"Nhà ngõ, hẻm",2,2.00,57.00 ,83.33 ,4749.81
08/05/2020,Quận Cầu Giấy,Phường Yên Hoà,"Nhà ngõ, hẻm",4,3.00,43.00 ,86.05 ,3700.15
08/05/2020,Quận Cầu Giấy,Phường Dịch Vọng,"Nhà ngõ, hẻm",4,4.00,42.00 ,88.10 ,3700.2
08/04/2020,Quận Long Biên,Phường Gia Thụy,"Nhà mặt phố, mặt tiền",2,3.00,70.00 ,102.86 ,7200.2
08/04/2020,Quận Nam Từ Liêm,Phường Phương Canh,"Nhà ngõ, hẻm",5,3.00,32.00 ,51.56 ,1649.92
08/04/2020,Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",5,6.00,65.00 ,75.38 ,4899.7
08/04/2020,Quận Hoàng Mai,Phường Tương Mai,"Nhà ngõ, hẻm",5,4.00,45.00 ,64.44 ,2899.8
08/04/2020,Quận Hà Đông,Phường La Khê,"Nhà mặt phố, mặt tiền",5,5.00,90.00 ,108.89 ,9800.1
08/04/2020,Quận Nam Từ Liêm,Phường Tây Mỗ,"Nhà ngõ, hẻm",4,3.00,32.00 ,60.94 ,1950.08
08/04/2020,Quận Cầu Giấy,Phường Nghĩa Đô,"Nhà ngõ, hẻm",5,5.00,45.00 ,95.56 ,4300.2
08/04/2020,Huyện Thanh Trì,Xã Tả Thanh Oai,"Nhà ngõ, hẻm",3,2.00,42.00 ,29.76 ,1249.92
08/04/2020,Quận Đống Đa,Phường Láng Hạ,"Nhà mặt phố, mặt tiền",5,4.00,42.00 ,361.90 ,15199.8
08/04/2020,Huyện Thanh Trì,Xã Tam Hiệp,"Nhà ngõ, hẻm",4,4.00,43.00 ,50.00 ,2150
08/04/2020,Quận Ba Đình,Phường Cống Vị,"Nhà ngõ, hẻm",5,3.00,25.00 ,96.00 ,2400
08/04/2020,Quận Hai Bà Trưng,Phường Bách Khoa,"Nhà ngõ, hẻm",3,3.00,45.00 ,51.11 ,2299.95
08/04/2020,Quận Ba Đình,Phường Vĩnh Phúc,"Nhà ngõ, hẻm",4,2.00,35.00 ,80.86 ,2830.1
08/04/2020,Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",4,4.00,38.00 ,68.42 ,2599.96
08/04/2020,Quận Đống Đa,Phường Trung Tự,"Nhà ngõ, hẻm",5,5.00,120.00 ,125.00 ,15000
08/04/2020,Quận Hà Đông,Phường Kiến Hưng,Nhà biệt thự,3,5.00,200.00 ,47.25 ,9450
08/04/2020,Quận Ba Đình,Phường Cống Vị,"Nhà ngõ, hẻm",8,7.00,55.00 ,309.09 ,16999.95
08/04/2020,Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",4,4.00,30.00 ,50.00 ,1500
08/04/2020,Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà mặt phố, mặt tiền",5,9.00,77.00 ,2.08 ,160.16
08/04/2020,Quận Cầu Giấy,Phường Mai Dịch,"Nhà ngõ, hẻm",5,4.00,34.00 ,120.59 ,4100.06
08/04/2020,Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",4,3.00,27.00 ,72.22 ,1949.94
08/04/2020,Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",5,4.00,30.00 ,82.67 ,2480.1
08/04/2020,Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",5,3.00,35.00 ,114.29 ,4000.15
08/04/2020,Quận Hai Bà Trưng,Phường Thanh Lương,"Nhà ngõ, hẻm",4,2.00,18.00 ,105.56 ,1900.08
08/04/2020,Quận Ba Đình,Phường Ngọc Hà,"Nhà ngõ, hẻm",5,5.00,33.00 ,136.36 ,4499.88
08/04/2020,Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",5,3.00,32.00 ,89.06 ,2849.92
08/04/2020,Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",4,3.00,20.00 ,97.50 ,1950
08/04/2020,Quận Nam Từ Liêm,Phường Phú Đô,"Nhà mặt phố, mặt tiền",5,4.00,54.00 ,101.85 ,5499.9
08/04/2020,Quận Long Biên,Phường Long Biên,"Nhà ngõ, hẻm",5,5.00,40.00 ,68.75 ,2750
08/04/2020,Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",4,3.00,28.00 ,70.00 ,1960
08/04/2020,Quận Đống Đa,Phường Kim Liên,"Nhà ngõ, hẻm",3,3.00,28.00 ,100.00 ,2800
08/04/2020,Quận Bắc Từ Liêm,Phường Phúc Diễn,"Nhà ngõ, hẻm",4,5.00,42.00 ,67.86 ,2850.12
08/04/2020,Quận Ba Đình,Phường Kim Mã,"Nhà ngõ, hẻm",4,4.00,32.00 ,84.38 ,2700.16
08/04/2020,Quận Nam Từ Liêm,Phường Cầu Diễn,Nhà phố liền kề,5,4.00,113.00 ,247.79 ,27999.931
08/04/2020,Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà mặt phố, mặt tiền",5,3.00,30.00 ,118.33 ,3549.9
08/04/2020,Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",3,2.00,37.00 ,53.51 ,1979.87
08/04/2020,Quận Nam Từ Liêm,Phường Trung Văn,"Nhà ngõ, hẻm",1,1.00,45.00 ,71.11 ,3199.95
08/04/2020,Quận Thanh Xuân,Phường Thượng Đình,"Nhà ngõ, hẻm",5,4.00,62.00 ,125.81 ,7800.22
08/04/2020,Quận Đống Đa,Phường Ngã Tư Sở,"Nhà ngõ, hẻm",5,4.00,41.00 ,207.32 ,8500.12
08/04/2020,Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",4,3.00,46.00 ,81.52 ,3749.92
08/04/2020,Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",5,3.00,11.00 ,131.82 ,1450.02
08/04/2020,Quận Hoàng Mai,Phường Hoàng Liệt,"Nhà mặt phố, mặt tiền",5,4.00,44.00 ,89.77 ,3949.88
08/04/2020,Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà mặt phố, mặt tiền",3,3.00,21.00 ,100.00 ,2100
08/04/2020,Quận Nam Từ Liêm,Phường Mỹ Đình 2,"Nhà mặt phố, mặt tiền",5,5.00,51.00 ,76.47 ,3899.97
08/04/2020,Quận Đống Đa,Phường Quốc Tử Giám,"Nhà mặt phố, mặt tiền",5,8.00,75.00 ,393.33 ,29499.75
08/04/2020,Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",5,3.00,35.00 ,71.43 ,2500.05
08/04/2020,Quận Đống Đa,Phường Khâm Thiên,"Nhà ngõ, hẻm",3,2.00,58.00 ,5.52 ,320.16
08/04/2020,Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",5,4.00,54.00 ,200.00 ,10800
08/04/2020,Quận Bắc Từ Liêm,Phường Cổ Nhuế 1,"Nhà ngõ, hẻm",5,4.00,40.00 ,70.00 ,2800
08/04/2020,Quận Bắc Từ Liêm,Phường Phú Diễn,"Nhà ngõ, hẻm",4,4.00,36.00 ,65.28 ,2350.08
08/04/2020,Quận Hoàng Mai,Phường Tương Mai,"Nhà mặt phố, mặt tiền",5,3.00,55.00 ,51.82 ,2850.1
08/04/2020,Quận Ba Đình,Phường Kim Mã,"Nhà ngõ, hẻm",3,2.00,30.00 ,60.00 ,1800
08/04/2020,Quận Long Biên,Phường Đức Giang,"Nhà mặt phố, mặt tiền",3,4.00,196.00 ,80.61 ,15799.56
08/04/2020,Quận Long Biên,Phường Thạch Bàn,"Nhà ngõ, hẻm",5,5.00,45.00 ,91.11 ,4099.95
08/04/2020,Quận Long Biên,Phường Ngọc Thụy,"Nhà ngõ, hẻm",5,4.00,37.00 ,78.38 ,2900.06
08/04/2020,Quận Hai Bà Trưng,Phường Cầu Dền,"Nhà ngõ, hẻm",5,4.00,45.00 ,128.89 ,5800.05
08/04/2020,Quận Hoàng Mai,Phường Tân Mai,"Nhà mặt phố, mặt tiền",5,6.00,60.00 ,125.00 ,7500
08/04/2020,Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",5,3.00,25.00 ,96.00 ,2400
08/04/2020,Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",5,3.00,34.00 ,63.24 ,2150.16
08/04/2020,Quận Hoàng Mai,Phường Tương Mai,"Nhà ngõ, hẻm",4,4.00,48.00 ,62.50 ,3000
08/04/2020,Quận Hoàng Mai,Phường Mai Động,"Nhà ngõ, hẻm",4,4.00,34.00 ,120.59 ,4100.06
08/04/2020,Quận Hà Đông,Phường Phú La,"Nhà mặt phố, mặt tiền",5,4.00,40.00 ,50.00 ,2000
08/04/2020,Quận Hà Đông,Phường Hà Cầu,"Nhà ngõ, hẻm",4,3.00,33.00 ,65.15 ,2149.95
08/04/2020,Quận Thanh Xuân,Phường Phương Liệt,"Nhà ngõ, hẻm",5,5.00,48.00 ,114.58 ,5499.84
08/04/2020,Quận Hoàng Mai,Phường Vĩnh Hưng,"Nhà ngõ, hẻm",2,2.00,30.00 ,28.33 ,849.9
08/04/2020,Quận Bắc Từ Liêm,Phường Xuân Đỉnh,"Nhà ngõ, hẻm",2,3.00,81.00 ,39.51 ,3200.31
08/04/2020,Quận Bắc Từ Liêm,Phường Cổ Nhuế 1,"Nhà mặt phố, mặt tiền",5,3.00,45.00 ,64.44 ,2899.8
08/04/2020,Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",4,2.00,30.00 ,86.67 ,2600.1
08/04/2020,Quận Hà Đông,Phường Hà Cầu,"Nhà ngõ, hẻm",4,4.00,45.00 ,62.22 ,2799.9
08/04/2020,Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",4,3.00,36.00 ,59.72 ,2149.92
08/04/2020,Quận Hà Đông,Phường Phú La,Nhà phố liền kề,5,6.00,83.00 ,104.43 ,8667.69
08/04/2020,Quận Hà Đông,Phường Văn Quán,"Nhà mặt phố, mặt tiền",4,4.00,68.00 ,76.47 ,5199.96
08/04/2020,Huyện Thanh Trì,Xã Tam Hiệp,"Nhà ngõ, hẻm",3,3.00,36.00 ,55.22 ,1987.92
08/04/2020,Quận Hai Bà Trưng,Phường Quỳnh Mai,"Nhà ngõ, hẻm",5,4.00,40.00 ,162.25 ,6490
08/04/2020,Quận Đống Đa,Phường Quốc Tử Giám,"Nhà ngõ, hẻm",2,3.00,31.00 ,74.19 ,2299.89
08/04/2020,Quận Hai Bà Trưng,Phường Thanh Lương,"Nhà ngõ, hẻm",4,3.00,35.00 ,68.57 ,2399.95
08/04/2020,Quận Hoàng Mai,Phường Tân Mai,"Nhà ngõ, hẻm",4,3.00,48.00 ,68.75 ,3300
08/04/2020,Quận Cầu Giấy,Phường Quan Hoa,"Nhà ngõ, hẻm",5,4.00,45.00 ,102.22 ,4599.9
08/04/2020,Quận Đống Đa,Phường Nam Đồng,"Nhà ngõ, hẻm",5,4.00,31.00 ,112.90 ,3499.9
08/04/2020,Quận Cầu Giấy,Phường Dịch Vọng Hậu,"Nhà ngõ, hẻm",4,5.00,45.00 ,111.11 ,4999.95
08/04/2020,Quận Cầu Giấy,Phường Nghĩa Tân,"Nhà mặt phố, mặt tiền",5,4.00,40.00 ,187.50 ,7500
08/04/2020,Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",5,4.00,36.00 ,80.56 ,2900.16
08/04/2020,Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",4,4.00,60.00 ,83.33 ,4999.8
08/04/2020,Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",5,3.00,36.00 ,76.39 ,2750.04
08/04/2020,Quận Hà Đông,Phường Phú La,"Nhà ngõ, hẻm",5,4.00,50.00 ,108.00 ,5400
08/04/2020,Quận Hà Đông,Phường Văn Quán,"Nhà mặt phố, mặt tiền",2,2.00,45.00 ,122.22 ,5499.9
08/04/2020,Quận Đống Đa,Phường Ngã Tư Sở,"Nhà mặt phố, mặt tiền",4,4.00,60.00 ,310.00 ,18600
08/04/2020,Quận Đống Đa,Phường Láng Thượng,"Nhà ngõ, hẻm",5,4.00,44.00 ,163.64 ,7200.16
08/04/2020,Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà mặt phố, mặt tiền",6,6.00,60.00 ,483.33 ,28999.8
08/04/2020,Quận Hoàng Mai,Phường Tương Mai,"Nhà ngõ, hẻm",3,2.00,65.00 ,52.31 ,3400.15
08/04/2020,Quận Nam Từ Liêm,Phường Phương Canh,"Nhà ngõ, hẻm",2,2.00,34.00 ,45.82 ,1557.88
08/04/2020,Quận Hà Đông,Phường Hà Cầu,"Nhà mặt phố, mặt tiền",5,4.00,50.00 ,92.00 ,4600
08/04/2020,Quận Hoàng Mai,Phường Mai Động,"Nhà ngõ, hẻm",5,4.00,31.00 ,88.71 ,2750.01
08/04/2020,Quận Ba Đình,Phường Liễu Giai,"Nhà ngõ, hẻm",5,6.00,47.00 ,101.06 ,4749.82
08/03/2020,Quận Đống Đa,Phường Thịnh Quang,"Nhà ngõ, hẻm",4,3.00,40.00 ,95.00 ,3800
08/03/2020,Quận Hai Bà Trưng,Phường Vĩnh Tuy,"Nhà ngõ, hẻm",3,4.00,68.00 ,100.00 ,6800
08/03/2020,Quận Hai Bà Trưng,Phường Bách Khoa,"Nhà ngõ, hẻm",5,4.00,33.00 ,87.88 ,2900.04
08/03/2020,Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",5,5.00,35.00 ,85.71 ,2999.85
08/03/2020,Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",4,6.00,45.00 ,62.22 ,2799.9
08/03/2020,Quận Ba Đình,Phường Vĩnh Phúc,"Nhà ngõ, hẻm",5,3.00,39.00 ,76.92 ,2999.88
08/03/2020,Quận Tây Hồ,Phường Xuân La,"Nhà ngõ, hẻm",5,3.00,30.00 ,158.33 ,4749.9
08/03/2020,Quận Cầu Giấy,Phường Trung Hoà,"Nhà ngõ, hẻm",5,6.00,35.00 ,117.14 ,4099.9
08/03/2020,Quận Nam Từ Liêm,Phường Mỹ Đình 1,"Nhà ngõ, hẻm",4,3.00,30.00 ,83.33 ,2499.9
08/03/2020,Quận Hà Đông,Phường Mộ Lao,"Nhà ngõ, hẻm",4,3.00,33.00 ,83.33 ,2749.89
08/03/2020,Quận Hà Đông,Phường Quang Trung,"Nhà ngõ, hẻm",5,3.00,33.00 ,66.67 ,2200.11
08/03/2020,Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",4,3.00,36.00 ,66.67 ,2400.12
08/03/2020,Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",5,5.00,38.00 ,92.11 ,3500.18
08/03/2020,Quận Ba Đình,Phường Vĩnh Phúc,"Nhà ngõ, hẻm",4,4.00,40.00 ,75.00 ,3000
08/03/2020,Quận Tây Hồ,Phường Quảng An,"Nhà ngõ, hẻm",4,3.00,30.00 ,80.00 ,2400
08/03/2020,Quận Hai Bà Trưng,Phường Quỳnh Lôi,"Nhà ngõ, hẻm",4,4.00,35.00 ,85.71 ,2999.85
08/03/2020,Quận Hoàng Mai,Phường Đại Kim,"Nhà ngõ, hẻm",4,4.00,50.00 ,60.00 ,3000
08/03/2020,Quận Hà Đông,Phường Yết Kiêu,"Nhà mặt phố, mặt tiền",9,9.00,52.00 ,125.00 ,6500
08/03/2020,Quận Hoàng Mai,Phường Tân Mai,"Nhà ngõ, hẻm",4,2.00,28.00 ,85.36 ,2390.08
08/03/2020,Huyện Thanh Trì,Xã Tả Thanh Oai,"Nhà ngõ, hẻm",5,5.00,40.00 ,45.00 ,1800
08/03/2020,Quận Đống Đa,Phường Thịnh Quang,"Nhà ngõ, hẻm",5,6.00,54.00 ,87.04 ,4700.16
08/03/2020,Quận Thanh Xuân,Phường Thượng Đình,"Nhà ngõ, hẻm",3,2.00,64.00 ,67.97 ,4350.08
08/03/2020,Quận Đống Đa,Phường Kim Liên,"Nhà ngõ, hẻm",5,4.00,35.00 ,108.57 ,3799.95
08/03/2020,Quận Hoàng Mai,Phường Thanh Trì,"Nhà ngõ, hẻm",5,3.00,32.00 ,67.19 ,2150.08
08/03/2020,Quận Hoàng Mai,Phường Định Công,"Nhà ngõ, hẻm",5,4.00,36.00 ,76.39 ,2750.04
08/03/2020,Quận Nam Từ Liêm,Phường Trung Văn,"Nhà ngõ, hẻm",1,1.00,45.00 ,71.11 ,3199.95
08/03/2020,Quận Cầu Giấy,Phường Mai Dịch,"Nhà ngõ, hẻm",5,3.00,35.00 ,91.43 ,3200.05
08/03/2020,Quận Long Biên,Phường Giang Biên,"Nhà ngõ, hẻm",2,2.00,54.00 ,42.59 ,2299.86
08/03/2020,Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",3,4.00,63.00 ,5.63 ,354.69
08/03/2020,Quận Cầu Giấy,Phường Nghĩa Đô,"Nhà ngõ, hẻm",5,6.00,45.00 ,111.11 ,4999.95
08/03/2020,Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",4,4.00,60.00 ,63.33 ,3799.8
08/03/2020,Quận Nam Từ Liêm,Phường Đại Mỗ,"Nhà mặt phố, mặt tiền",4,6.00,45.00 ,106.67 ,4800.15
08/03/2020,Quận Đống Đa,Phường Nam Đồng,Nhà biệt thự,4,4.00,100.00 ,162.00 ,16200
08/03/2020,Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",5,4.00,40.00 ,112.50 ,4500
08/03/2020,Quận Thanh Xuân,Phường Hạ Đình,"Nhà ngõ, hẻm",5,3.00,40.00 ,96.25 ,3850
08/03/2020,Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",2,2.00,33.00 ,74.24 ,2449.92
08/03/2020,Quận Thanh Xuân,Phường Phương Liệt,"Nhà ngõ, hẻm",5,4.00,50.00 ,124.00 ,6200
08/03/2020,Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",5,4.00,43.00 ,89.53 ,3849.79
08/03/2020,Quận Đống Đa,Phường Cát Linh,"Nhà ngõ, hẻm",4,3.00,22.00 ,88.64 ,1950.08
08/03/2020,Quận Hà Đông,Phường Phú La,Nhà phố liền kề,4,6.00,91.00 ,69.01 ,6279.91
08/03/2020,Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",5,4.00,43.00 ,165.12 ,7100.16
08/03/2020,Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà ngõ, hẻm",3,2.00,27.00 ,72.96 ,1969.92
08/03/2020,Quận Nam Từ Liêm,Phường Mỹ Đình 1,"Nhà mặt phố, mặt tiền",5,4.00,35.00 ,85.71 ,2999.85
08/03/2020,Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",5,3.00,40.00 ,71.25 ,2850
08/03/2020,Quận Đống Đa,Phường Khâm Thiên,"Nhà ngõ, hẻm",4,2.00,24.00 ,95.83 ,2299.92
08/03/2020,Quận Hoàng Mai,Phường Định Công,"Nhà mặt phố, mặt tiền",5,5.00,54.00 ,101.85 ,5499.9
08/03/2020,Quận Cầu Giấy,Phường Nghĩa Đô,"Nhà mặt phố, mặt tiền",5,4.00,42.00 ,104.76 ,4399.92
08/03/2020,Quận Cầu Giấy,Phường Mai Dịch,"Nhà mặt phố, mặt tiền",7,8.00,55.00 ,236.36 ,12999.8
08/03/2020,Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",3,3.00,50.00 ,73.00 ,3650
08/02/2020,Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",2,3.00,40.00 ,44.13 ,1765.2
08/02/2020,Quận Nam Từ Liêm,Phường Mỹ Đình 1,"Nhà ngõ, hẻm",4,4.00,40.00 ,74.75 ,2990
08/02/2020,Quận Thanh Xuân,Phường Thanh Xuân Nam,"Nhà mặt phố, mặt tiền",10,8.00,65.00 ,315.38 ,20499.7
08/02/2020,Quận Hoàn Kiếm,Phường Hàng Bài,"Nhà mặt phố, mặt tiền",5,4.00,56.00 ,240.18 ,13450.08
08/02/2020,Quận Thanh Xuân,Phường Khương Trung,"Nhà mặt phố, mặt tiền",5,4.00,68.00 ,101.47 ,6899.96
08/02/2020,Quận Đống Đa,Phường Quang Trung,"Nhà ngõ, hẻm",7,10.00,75.00 ,200.00 ,15000
08/02/2020,Quận Hoàng Mai,Phường Yên Sở,"Nhà ngõ, hẻm",4,3.00,47.00 ,56.38 ,2649.86
08/02/2020,Quận Hà Đông,Phường Yết Kiêu,"Nhà mặt phố, mặt tiền",3,3.00,30.00 ,103.33 ,3099.9
08/02/2020,Quận Long Biên,Phường Long Biên,"Nhà ngõ, hẻm",4,3.00,38.00 ,67.11 ,2550.18
